Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
Abuja,Honda,Accord Coupe EX V-6,2011,Silver,2.2,nigerian used,112366.0
Ibadan,Hyundai,Sonata,2012,Silver,3.5,nigerian used,125000.0
Lagos,Lexus,RX 350,2010,Red,9.2,foreign used,110852.0
Abuja,Mercedes-Benz,GLE-Class,2017,Blue,22.8,foreign used,30000.0
Ibadan,Toyota,Highlander,2002,Red,2.6,nigerian used,125206.0
Lagos,Toyota,Venza V6,2011,Black,7.5,foreign used,72366.0
Lagos,Lexus,LX 570 AWD,2019,Black,79.0,foreign used,72366.0
Abuja,Toyota,Avalon,2015,Gold,9.0,foreign used,72366.0
Lagos,Toyota,Sienna,2012,Blue,7.76,foreign used,350882.0
Ibadan,Mercedes-Benz,C240 Matt,2004,Black,2.5,foreign used,179638.0
Lagos,Acura,RDX SH-AWD,2012,White,7.2,foreign used,75858.0
Lagos,Toyota,Avensis 1.8 Sedan,2003,Silver,3.26,foreign used,111289.0
Lagos,Toyota,Corolla,2008,Black,1.91,nigerian used,126075.0
Lagos,Toyota,Venza V6 AWD,2010,White,6.95,foreign used,72366.0
Abuja,Toyota,Hilux SR5+ 4x4,2018,Black,17.0,foreign used,16000.0
Lagos,Lexus,ES 350,2008,Blue,3.55,nigerian used,112366.0
Abuja,Toyota,Tacoma Limited,2017,Gray,22.0,foreign used,52352.0
Abuja,Toyota,Hilux,2020,White,23.0,brand new,7523.0
Lagos,Lexus,RX 350 AWD,2015,Black,14.0,foreign used,72366.0
Lagos,Toyota,Avalon,2011,Gray,4.9,foreign used,75300.0
Lagos,Dodge,Caravan Cargo Van,2006,Red,2.48,foreign used,170671.0
Abuja,Nissan,Altima,2020,Gray,16.0,foreign used,9000.0
Lagos,Mercedes-Benz,M Class,2006,Silver,4.6,foreign used,72366.0
Ibadan,Toyota,Highlander XLE V6 4x4 (3.5L 6cyl 6A),2016,Gray,15.0,foreign used,20189.0
Abuja,Mercedes-Benz,E350,2014,Silver,11.85,foreign used,40000.0
Abuja,Honda,Ridgeline,2007,Black,4.1,foreign used,100000.0
Abuja,Kia,Optima,2014,Burgandy,4.5,foreign used,72366.0
Lagos,Lexus,ES 350,2007,Gray,4.2,foreign used,85474.0
Abuja,Toyota,Venza V6 AWD,2010,Green,9.0,foreign used,42483.0
Abuja,Toyota,Venza AWD,2010,Green,7.8,foreign used,49000.0
Lagos,Toyota,Sequoia,2009,Black,5.9,nigerian used,140000.0
Abuja,Toyota,Camry,2014,Gray,4.0,nigerian used,128885.0
Ibadan,Toyota,RAV4 Limited V6 4x4,2007,Green,4.0,foreign used,96000.0
Ibadan,Toyota,Camry,2003,Silver,2.4,foreign used,130000.0
Lagos,Mercedes-Benz,GL-Class,2014,White,17.0,foreign used,118285.0
Abuja,BMW,X5 4.4i,2006,Gray,3.0,foreign used,72366.0
Abuja,Toyota,Highlander,2005,Black,3.2,nigerian used,124540.0
Abuja,Toyota,Camry,2009,Gray,2.66,nigerian used,88800.0
Abuja,Toyota,Hilux,2021,White,23.0,brand new,100.0
Abuja,Toyota,Land Cruiser 5.7 V8 VX-S,2019,Black,115.0,foreign used,52000.0
Abuja,Honda,Accord,2016,Gray,7.8,foreign used,72366.0
Abuja,Volvo,XC90,2005,Gray,3.3,foreign used,180003.0
Ibadan,Lexus,ES 350,2010,White,5.5,foreign used,72366.0
Abuja,Toyota,Corolla,2013,Red,3.85,nigerian used,50000.0
Abuja,Toyota,Corolla LE,2007,Silver,2.3,nigerian used,112366.0
Abuja,Mercedes-Benz,C350,2008,Silver,3.5,nigerian used,120213.0
Abuja,Lexus,LX 570 AWD,2017,White,58.9,foreign used,32000.0
Lagos,Lexus,RX 350 FWD,2019,White,22.0,foreign used,4000.0
Abuja,Mercedes-Benz,C320,2004,Silver,2.8,foreign used,72366.0
Lagos,Lexus,ES 350,2011,Silver,6.5,foreign used,72366.0
Lagos,Toyota,RAV4 XLE AWD (2.5L 4cyl 6A),2013,Gray,8.25,foreign used,72366.0
Lagos,Mercedes-Benz,M Class,2010,Gold,6.8,foreign used,72366.0
Lagos,Nissan,Maxima,2010,Violet,2.08,foreign used,139938.0
Lagos,Ford,Escape,2005,Silver,1.46,nigerian used,163801.0
Lagos,Toyota,Camry,2008,Silver,3.6,foreign used,217082.0
Abuja,Toyota,Highlander Limited,2010,White,6.85,foreign used,65349.0
Lagos,Toyota,Camry,2009,Gray,3.75,foreign used,86524.0
Abuja,Mercedes-Benz,M Class ML 350 4Matic,2013,Black,10.0,foreign used,72366.0
Abuja,Lexus,ES 350,2010,Black,6.5,nigerian used,75214.0
Abuja,Lexus,RX 330,2004,Blue,4.5,nigerian used,65242.0
Lagos,Nissan,Murano,2003,Brown,2.81,nigerian used,112366.0
Abuja,Lexus,IS,2008,Silver,4.5,foreign used,72366.0
Abuja,Toyota,Sienna LE FWD (3.3L V6 5A),2004,Gold,1.8,foreign used,121300.0
Abuja,Lexus,LX 570 (5 Seats) AWD,2018,Black,67.5,foreign used,20000.0
Lagos,Lexus,ES 350,2009,Gold,4.5,foreign used,36521.0
Abuja,Toyota,Highlander,2003,Gray,2.2,nigerian used,112366.0
Ibadan,Toyota,Camry,2007,Gray,3.3,foreign used,72366.0
Abuja,Honda,Accord,2013,Red,4.2,nigerian used,112366.0
Ibadan,Toyota,Camry,2010,Gold,4.0,foreign used,72366.0
Abuja,Mercedes-Benz,C230,2005,Gold,2.5,foreign used,100000.0
Abuja,Toyota,4-Runner,2000,Gray,1.5,nigerian used,112366.0
Abuja,Hyundai,Elantra,2007,Gray,1.69,nigerian used,195106.0
Lagos,Mercedes-Benz,GLK-Class,2010,Silver,6.73,foreign used,156155.0
Lagos,Lexus,RX 350,2011,Gray,9.5,foreign used,121131.0
Lagos,Lexus,GX 470,2007,Black,5.5,foreign used,87451.0
Lagos,Lexus,ES 350,2008,Red,4.5,foreign used,129630.0
Lagos,Lexus,RX 350 AWD,2008,Gray,5.78,foreign used,78669.0
Lagos,Lexus,ES 350 FWD,2013,Silver,9.7,foreign used,58869.0
Abuja,Ford,Edge,2008,Silver,3.8,foreign used,87322.0
Lagos,Ford,Explorer,2012,Black,8.44,foreign used,232070.0
Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),2009,Blue,7.5,foreign used,56655.0
Lagos,Toyota,4-Runner Limited V6,2005,Silver,4.45,foreign used,895236.0
Lagos,Toyota,4-Runner Limited 4x4,2019,Black,29.0,foreign used,5000.0
Lagos,Dodge,RAM,2014,Black,11.25,nigerian used,69000.0
Ibadan,Toyota,Corolla,2010,Gray,2.05,nigerian used,86000.0
Lagos,Lexus,RX 450hL Luxury AWD,2018,Gold,21.5,foreign used,5626.0
Lagos,Honda,Pilot,2007,Black,3.59,foreign used,303353.0
Lagos,Lexus,RX 350 4x4,2007,Brown,5.4,foreign used,72366.0
Abuja,Toyota,Highlander,2013,White,10.69,nigerian used,129939.0
Abuja,Mercedes-Benz,C300,2016,Brown,11.9,foreign used,72366.0
Lagos,Lexus,RX 350 FWD,2012,Blue,7.4,foreign used,65828.0
Lagos,Toyota,Highlander Limited 3.5l 4WD,2013,White,8.68,foreign used,100000.0
Lagos,Toyota,Camry,2009,Silver,3.2,foreign used,75324.0
Lagos,Toyota,Avalon,2013,Red,8.5,foreign used,95124.0
Ibadan,Toyota,Camry,2002,Silver,1.2,nigerian used,79321.0
Abuja,Lexus,GX,2004,Black,7.31,nigerian used,226360.0
Lagos,Toyota,4-Runner Sport Edition,2004,Gray,3.95,foreign used,72366.0
Lagos,Toyota,Highlander 4x4,2008,Green,6.0,foreign used,69769.0
Lagos,Lexus,RX 350,2011,Blue,10.8,foreign used,30457.0
Abuja,Lexus,LS,2008,White,3.5,nigerian used,120606.0
Lagos,Lexus,LX,2018,Black,52.0,brand new,811.0
Ibadan,Honda,CR-V,2004,Red,2.48,foreign used,397157.0
Abuja,Toyota,Tacoma,2017,Black,16.55,foreign used,72366.0
Abuja,Mercedes-Benz,S-Class,2016,Black,45.0,foreign used,47000.0
Abuja,Toyota,Corolla S,2007,Black,2.4,nigerian used,112366.0
Lagos,Toyota,RAV4 4x4,2007,Black,3.9,foreign used,72366.0
Lagos,Lexus,ES 350,2008,Gray,4.1,foreign used,176353.0
Abuja,Mercedes-Benz,G-Class G 63 AMG,2021,White,195.0,brand new,811.0
Abuja,Toyota,Land Cruiser Prado 3 172hp,2018,Black,27.0,foreign used,72366.0
Abuja,Toyota,RAV4 Limited FWD,2020,Green,27.0,brand new,854.0
Abuja,Toyota,Camry,2011,Blue,4.35,foreign used,72366.0
Ibadan,Toyota,Corolla,2005,Silver,1.69,nigerian used,160932.0
Abuja,Land Rover,Range Rover,2009,Green,3.5,nigerian used,112366.0
Ibadan,Lexus,RX 350 XE 4x4,2008,Silver,5.6,foreign used,135000.0
Ibadan,Toyota,Camry,2008,Black,3.55,foreign used,198000.0
Abuja,Lincoln,Navigator,2013,Silver,9.9,foreign used,56000.0
Ibadan,Toyota,Corolla S,2007,Silver,3.15,foreign used,130000.0
Lagos,Lexus,RX 350,2011,Silver,8.7,foreign used,65000.0
Lagos,Toyota,Camry 2.4 XLE,2008,Red,3.4,foreign used,91738.0
Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),2008,White,3.95,foreign used,75000.0
Lagos,Toyota,Venza V6 AWD,2010,White,7.9,foreign used,72366.0
Lagos,Mercedes-Benz,GL-Class GL 450,2010,Black,8.0,foreign used,72366.0
Lagos,Lexus,RX,2003,Silver,3.5,foreign used,65000.0
Lagos,Lexus,CT Base FWD,2016,Gray,10.2,foreign used,700010.0
Lagos,Toyota,Camry,2009,Gray,3.9,foreign used,75840.0
Lagos,Lexus,RX 350,2011,Silver,10.5,foreign used,65802.0
Lagos,Lexus,ES 350,2012,White,6.5,foreign used,72366.0
